!
!Columns:
!
!SUPLAY LAY WIRE Xa Ya Za Xb Yb Zb
!
!These are the wire endpoints for sector 1. We will simply
!duplicate for the other sectors. Note the layers (column 2)
!go from 1 to 8. Layers 1 and 8 are guard layers. Layer 2
!is the first sense layer. Likewise the wires (column 3) go from 
!1 to 114. Wires 1 and 114 are guard wires. Wire 2 is the first
!sense wire. The units are cm.
!
!
1 1 71  110.8095   64.6379  199.9871   99.1862  -57.3820  205.4071
1 1 72  112.1057   65.4471  199.3827  100.3370  -58.1003  204.8705
1 1 73  113.4020   66.2563  198.7782  101.4877  -58.8187  204.3339
1 1 74  114.6982   67.0655  198.1738  102.6385  -59.5371  203.7973
1 1 75  115.9945   67.8747  197.5693  103.7892  -60.2554  203.2607
1 1 76  117.2907   68.6839  196.9649  104.9399  -60.9738  202.7241
1 1 77  118.5870   69.4931  196.3604  106.0907  -61.6922  202.1875
1 1 78  119.8832   70.3023  195.7560  107.2414  -62.4105  201.6509
1 1 79  121.1795   71.1115  195.1515  108.3922  -63.1289  201.1143
1 1 80  122.4757   71.9207  194.5471  109.5429  -63.8472  200.5777
1 1 81  123.7720   72.7299  193.9426  110.6936  -64.5656  200.0411
1 1 82  125.0682   73.5391  193.3382  111.8444  -65.2840  199.5045
1 1 83  126.3645   74.3483  192.7337  112.9951  -66.0023  198.9679
1 1 84  127.6607   75.1575  192.1293  114.1459  -66.7207  198.4313
1 1 85  128.9570   75.9667  191.5248  115.2966  -67.4391  197.8947
1 1 86  130.2532   76.7759  190.9204  116.4473  -68.1574  197.3581
1 1 87  131.5495   77.5851  190.3159  117.5981  -68.8758  196.8215
1 1 88  132.8457   78.3943  189.7115  118.7488  -69.5942  196.2849
1 1 89  134.1420   79.2035  189.1070  119.8996  -70.3125  195.7483
1 1 90  135.4382   80.0127  188.5025  121.0503  -71.0309  195.2117
1 1 91  136.7345   80.8219  187.8981  122.2011  -71.7492  194.6752
1 1 92  138.0307   81.6311  187.2936  123.3518  -72.4676  194.1386
1 1 93  139.3270   82.4403  186.6892  124.5025  -73.1860  193.6020
1 1 94  140.6232   83.2495  186.0847  125.6533  -73.9043  193.0654
1 1 95  141.9195   84.0587  185.4803  126.8040  -74.6227  192.5288
1 1 96  143.2157   84.8679  184.8758  127.9548  -75.3411  191.9922
1 1 97  144.5120   85.6771  184.2714  129.1055  -76.0594  191.4556
1 1 98  145.8082   86.4863  183.6669  130.2562  -76.7778  190.9190
1 1 99  147.1045   87.2955  183.0625  131.4070  -77.4961  190.3824
1 1 100  148.4008   88.1047  182.4580  132.5577  -78.2145  189.8458
1 1 101  149.6970   88.9139  181.8536  133.7085  -78.9329  189.3092
1 1 102  150.9933   89.7231  181.2491  134.8592  -79.6512  188.7726
1 1 103  152.2895   90.5323  180.6447  136.0099  -80.3696  188.2360
1 1 104  153.5858   91.3415  180.0402  137.1607  -81.0880  187.6994
1 1 105  154.8820   92.1507  179.4358  138.3114  -81.8063  187.1628
1 1 106  156.1783   92.9599  178.8313  139.4622  -82.5247  186.6262
1 1 107  157.4745   93.7691  178.2269  140.6129  -83.2430  186.0896
1 1 108  158.7708   94.5783  177.6224  141.7636  -83.9614  185.5530
1 1 109  160.0670   95.3875  177.0180  142.9144  -84.6798  185.0164
1 1 110  161.3633   96.1967  176.4135  144.0651  -85.3981  184.4798
1 1 111  162.6595   97.0059  175.8091  145.2159  -86.1165  183.9432
1 1 112  163.9558   97.8151  175.2046  146.3666  -86.8349  183.4066
1 1 113  165.2520   98.6243  174.6002  147.5174  -87.5532  182.8700
1 1 114  166.5483   99.4335  173.9957  148.6681  -88.2716  182.3334
1 2 1   19.9134    7.5893  243.6511   18.5486   -6.7374  244.2874
1 2 2   21.2096    8.3985  243.0466   19.6994   -7.4558  243.7508
1 2 3   22.5059    9.2077  242.4422   20.8501   -8.1741  243.2142
1 2 4   23.8021   10.0169  241.8377   22.0009   -8.8925  242.6776
1 2 5   25.0984   10.8261  241.2333   23.1516   -9.6108  242.1410
1 2 6   26.3946   11.6353  240.6288   24.3023  -10.3292  241.6044
1 2 7   27.6909   12.4445  240.0243   25.4531  -11.0476  241.0678
1 2 8   28.9871   13.2537  239.4199   26.6038  -11.7659  240.5312
1 2 9   30.2834   14.0629  238.8154   27.7546  -12.4843  239.9946
1 2 10   31.5796   14.8721  238.2110   28.9053  -13.2027  239.4580
1 2 11   32.8759   15.6813  237.6065   30.0560  -13.9210  238.9214
1 2 12   34.1721   16.4905  237.0021   31.2068  -14.6394  238.3848
1 2 13   35.4684   17.2997  236.3976   32.3575  -15.3577  237.8482
1 2 14   36.7646   18.1089  235.7932   33.5083  -16.0761  237.3116
1 2 15   38.0609   18.9181  235.1887   34.6590  -16.7945  236.7750
1 2 16   39.3571   19.7273  234.5843   35.8097  -17.5128  236.2384
1 2 17   40.6534   20.5365  233.9798   36.9605  -18.2312  235.7018
1 2 18   41.9496   21.3457  233.3754   38.1112  -18.9496  235.1653
1 2 19   43.2459   22.1549  232.7709   39.2620  -19.6679  234.6287
1 2 20   44.5421   22.9641  232.1665   40.4127  -20.3863  234.0921
